
Verificación de las reglas de Firestore

Producto usado en las pruebas: Nike Tech Fleece Buzo ($ 27290)

--- COMO CLIENTE ---
OK   | esperado: permitido  | real: permitido        | lee su propia orden
OK   | esperado: rechazado  | real: rechazado        | lee una orden AJENA
OK   | esperado: permitido  | real: permitido        | lista sus órdenes filtrando por su uid
OK   | esperado: rechazado  | real: rechazado        | lista TODAS las órdenes, sin filtrar por su uid
OK   | esperado: rechazado  | real: rechazado        | cambia el estado de su propia orden
OK   | esperado: rechazado  | real: rechazado        | crea una orden a nombre de OTRO usuario
OK   | esperado: rechazado  | real: rechazado        | crea una orden ya marcada como completada
OK   | esperado: rechazado  | real: rechazado        | crea una orden con un campo inventado
OK   | esperado: rechazado  | real: rechazado        | crea una orden con fecha propia en vez de la del servidor
OK   | esperado: rechazado  | real: rechazado        | compra a un precio inventado, más barato que el del catálogo
OK   | esperado: rechazado  | real: rechazado        | declara un total que no coincide con sus líneas
OK   | esperado: rechazado  | real: rechazado        | compra un producto que no existe en el catálogo
OK   | esperado: rechazado  | real: rechazado        | crea una orden con items que no son objetos
OK   | esperado: rechazado  | real: rechazado        | crea una orden con más ítems de los que las reglas pueden verificar
OK   | esperado: rechazado  | real: rechazado        | borra su propia orden

--- COMO ADMINISTRADOR ---
OK   | esperado: permitido  | real: permitido        | lee una orden de otro usuario
OK   | esperado: permitido  | real: permitido        | lista TODAS las órdenes sin filtro
OK   | esperado: permitido  | real: permitido        | filtra por estado
OK   | esperado: permitido  | real: permitido        | cambia el estado con una transición válida
OK   | esperado: rechazado  | real: rechazado        | cambia SOLO el total
OK   | esperado: rechazado  | real: rechazado        | cambia el total JUNTO CON el estado
OK   | esperado: rechazado  | real: rechazado        | cambia el userId (se apropia de la orden)
OK   | esperado: rechazado  | real: rechazado        | cambia los ítems de la compra
OK   | esperado: rechazado  | real: rechazado        | hace una transición inválida (processing → pending)
OK   | esperado: rechazado  | real: rechazado        | pone updatedAt con una fecha propia
OK   | esperado: rechazado  | real: rechazado        | borra una orden
OK   | esperado: permitido  | real: permitido        | lleva la orden a un estado terminal
OK   | esperado: rechazado  | real: rechazado        | saca la orden de un estado terminal

Órdenes de prueba eliminadas: 2

28 pruebas — 0 fallaron
